Country, Survey, Tag, Type, Phase, Manual, Births, Children, Couples, GPS, HIV, Household, Members, Men, Women
Ethiopia, 2011, Ethiopia_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, etbr61, etkr61, etcr61, etge61, , ethr61, etpr61, etmr61, etir61
Gabon, 2000, Gabon_IV.DHS.III, Standard DHS, DHS-IV, DHS-III, gabr41, gakr41, gacr41, , , gahr41, gapr41, gamr41, gair41
Gabon, 2012, Gabon_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, gabr60, gakr60, gacr60, gage61, , gahr60, gapr60, gamr60, gair60
Gambia, 2013, Gambia_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, gmbr60, gmkr60, gmcr60, , , gmhr60, gmpr60, gmmr60, gmir60
Ghana, 1988, Ghana_I.DHS.I, Standard DHS, DHS-I, DHS-I, ghbr02, ghkr01, , , , ghhh01, , , ghir02
Ghana, 1993, Ghana_III.DHS.II, Standard DHS, DHS-III, DHS-II, ghbr31, ghkr31, ghcr31, ghge33, , ghhr31, ghpr31, ghmr31, ghir31
Ghana, 1998, Ghana_IV.DHS.III, Standard DHS, DHS-IV, DHS-III, ghbr41, ghkr41, ghcr41, ghge42, , ghhr41, ghpr41, ghmr41, ghir41
Ghana, 2003, Ghana_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, ghbr4b, ghkr4b, ghcr4b, ghge4b, , ghhr4b, ghpr4b, ghmr4b, ghir4b
Ghana, 2008, Ghana_V.DHS.V, Standard DHS, DHS-V, DHS-V, ghbr5a, ghkr5a, ghcr5a, ghge5a, , ghhr5a, ghpr5a, ghmr5a, ghir5a
Ghana, 2014, Ghana_VII.DHS.VI, Standard DHS, DHS-VII, DHS-VI, ghbr72, ghkr72, ghcr71, ghge71, , ghhr72, ghpr72, ghmr71, ghir72
Guatemala, 1987, Guatemala_I.DHS.I, Standard DHS, DHS-I, DHS-I, gubr01, gukr01, , , , guhh01, , , guir01
Guatemala, 1995, Guatemala_III.DHS.III, Standard DHS, DHS-III, DHS-III, gubr34, gukr34, , , , guhr34, gupr34, , guir34
Guatemala, 2014-15, Guatemala_VII.DHS.VI, Standard DHS, DHS-VII, DHS-VI, gubr71, gukr71, , guge71, , guhr71, gupr71, gumr71, guir71
Guinea, 1999, Guinea_IV.DHS.III, Standard DHS, DHS-IV, DHS-III, gnbr41, gnkr41, gncr41, gnge42, , gnhr41, gnpr41, gnmr41, gnir41
Guinea, 2005, Guinea_V.DHS.IV, Standard DHS, DHS-V, DHS-IV, gnbr52, gnkr52, gncr52, gnge52, , gnhr52, gnpr53, gnmr52, gnir52
